# 评论数据 —— 格式: user_id|dish_ids(逗号分隔)|comment|rate|timestamp
1|1,4|宫保鸡丁很香，麻婆豆腐下饭|5|1779926400
2|2,5|鱼香肉丝酸甜好味，炒饭粒粒分明|4|1779930000
3|3|红烧排骨软烂入味，分量也足|5|1779933600
4|1,7|鸡丁好吃，配杯柠檬茶很清爽|4|1779937200
5|9,10|芒果布丁和红豆双皮奶都很赞|5|1779940800
6|11,12|水煮鱼太辣了但是很爽，凉拌木耳解腻|5|1779944400
7|15|扬州炒饭中规中矩，有点油|3|1779948000
8|20,21|拍黄瓜清脆，酱牛肉很有嚼劲|4|1779951600
9|25|酸梅汤正宗，夏天喝最舒服|5|1779955200
10|30,31|炸酱面味道地道，就是稍微有点咸|4|1779958800
11|35|杨枝甘露料很足，推荐|5|1779962400
12|40,41|烤羊肉串肥瘦相间，烤韭菜有点老|4|1779966000
13|45|紫菜蛋花汤太淡了，没什么味道|2|1779969600
14|50,51|糖醋排骨酸甜适中，孩子爱吃|5|1779973200
15|55|冰粉红糖给多了，有点甜|3|1779976800
16|60,61|清蒸鲈鱼很新鲜，葱姜去腥做得好|5|1779980400
17|65|珍珠奶茶珍珠煮得刚好，不硬不烂|4|1779984000
18|70,71|干锅花菜火候不错，就是有点辣|4|1779987600
19|75|提拉米苏咖啡味浓郁，不错|5|1779991200
20|80,81|铁板牛肉滋滋响，黑椒味很正|5|1779994800
21|85|臭豆腐闻着臭吃着香，外脆里嫩|4|1779998400
22|90,91|菠萝咕噜肉外皮酥脆，里面多汁|5|1780002000
23|95|肠粉酱汁调得好，滑嫩|4|1780005600
24|100,101|煲仔饭锅巴很脆，腊味香甜|5|1780009200
25|105|凉皮酸辣开胃，夏天必备|4|1780012800
26|110,111|肉夹馍馍酥肉烂，一口下去满足|5|1780016400
27|115|蚵仔煎鲜味十足，台式风味正宗|4|1780020000
28|120,121|葱油饼层层分明，葱香四溢|4|1780023600
29|125|南瓜粥熬得很绵密，养胃|5|1780027200
30|130,131|杏仁豆腐清凉爽滑，杏仁味浓|4|1780030800
31|135|宫保虾球虾仁很大颗，Q弹|5|1780034400
32|140,141|香干炒肉家常味道，很下饭|4|1780038000
33|145|炒米粉镬气足，配菜丰富|4|1780041600
34|150,151|卤肉饭汁浓肉烂，拌饭一绝|5|1780045200
35|155|蒜蓉粉丝蒸扇贝蒜香扑鼻，粉丝吸满汤汁|5|1780048800
36|160|鱼香茄子软糯入味，就是油有点多|3|1780052400
37|165,166|干煸四季豆干香微辣，口感脆嫩|4|1780056000
38|170|酸菜鱼酸菜够味，鱼片滑嫩无刺|5|1780059600
39|175,176|辣子鸡麻辣干香，鸡肉酥脆|4|1780063200
40|180|木须肉营养丰富，鸡蛋木耳搭配好|4|1780066800
41|185,186|地三鲜土豆茄子青椒，东北经典|5|1780070400
42|190|京酱肉丝甜面酱炒得正好，配葱丝豆皮|4|1780074000
43|195,196|剁椒鱼头鲜辣入味，鱼肉细嫩|5|1780077600
44|200|夫妻肺片麻辣鲜香，牛杂处理干净|4|1780081200
45|1,2|宫保鸡丁和鱼香肉丝都是下饭神器|5|1780084800
46|3,4|红烧排骨和麻婆豆腐，经典组合|4|1780088400
47|5,6|扬州炒饭配牛肉拉面，主食双拼|3|1780092000
48|7,8|柠檬红茶和鲜榨橙汁，解腻必备|4|1780095600
49|9,10|甜品双拼，芒果布丁和双皮奶都爱|5|1780099200
50|11,12|糖醋里脊和水煮鱼，一甜一辣|4|1780102800
51|13,14|回锅肉和干煸四季豆，川菜经典|5|1780106400
52|15,16|酸菜鱼和辣子鸡，重口味最爱|4|1780110000
