# id 菜名 价格 描述 销量 平均得分 类型 评论个数(用来排序还有更新平均评分)
1 宫保鸡丁 28 鸡肉搭配花生，微辣口味 157 4.5 热菜 2
2 鱼香肉丝 26 经典川菜，酸甜开胃 144 4 热菜 1
3 红烧排骨 36 精选猪排骨慢火炖制 100 5 热菜 3
4 麻婆豆腐 18 麻辣鲜香，下饭佳品 173 5 热菜 3
5 扬州炒饭 16 火腿、鸡蛋、青豆搭配炒制 127 4 主食 3
6 牛肉拉面 22 浓郁牛骨汤底，手工拉面 115 4.7 主食 3
7 柠檬红茶 8 新鲜柠檬搭配红茶 205 4 饮品 3
8 鲜榨橙汁 12 现榨橙汁，无添加糖 132 4.8 饮品 1
9 芒果布丁 15 香浓奶香与芒果果肉结合 87 5 甜品 4
10 红豆双皮奶 14 传统广式甜品 92 5 甜品 4
11 糖醋里脊 32 外酥里嫩，酸甜可口 120 4.6 热菜 2
12 水煮鱼 58 鲜嫩鱼片，麻辣过瘾 180 4.8 热菜 4
13 回锅肉 30 肥而不腻，蒜苗增香 135 4.5 热菜 3
14 干煸四季豆 24 干香微辣，口感脆嫩 111 4.2 热菜 2
15 酸菜鱼 55 酸菜开胃，鱼片滑嫩 166 4.7 热菜 3
16 辣子鸡 45 麻辣干香，鸡肉酥脆 141 4.4 热菜 3
17 木须肉 28 鸡蛋木耳肉片，营养丰富 105 4.3 热菜 2
18 地三鲜 26 土豆茄子青椒，东北经典 115 4.5 热菜 2
19 京酱肉丝 34 甜面酱炒肉丝，配葱丝豆皮 125 4.6 热菜 3
20 剁椒鱼头 68 鲜辣入味，鱼肉细嫩 150 4.8 热菜 4
21 拍黄瓜 12 蒜香浓郁，清脆爽口 212 4.3 凉菜 3
22 凉拌木耳 15 酸辣开胃，营养丰富 185 4.5 凉菜 2
23 夫妻肺片 38 麻辣鲜香，牛杂经典 130 4.7 凉菜 3
24 蒜泥白肉 32 肉片薄透，蒜香浓郁 115 4.6 凉菜 2
25 凉拌海带丝 10 酸辣脆爽，开胃小菜 195 4.2 凉菜 2
26 皮蛋豆腐 16 嫩滑豆腐搭配松花蛋 160 4.4 凉菜 2
27 口水鸡 42 麻辣红油，鸡肉鲜嫩 145 4.8 凉菜 3
